,Age in 5-year groups,Type of place of residence,Number of household members,Source of drinking water,Time to get to water source (minutes),Type of toilet facility,Has electricity,Has radio,Age of head of household,Sons who have died,Daughters who have died,Total children ever born
3925,30-34,urban,6,tube well or borehole,20.0,pit latrine with slab,no,no,45.0,0,0,2
3926,15-19,urban,6,tube well or borehole,20.0,pit latrine with slab,no,no,45.0,0,0,0
3927,45-49,urban,7,protected well,10.0,pit latrine with slab,no,no,35.0,1,1,7
3928,20-24,urban,7,protected well,10.0,pit latrine with slab,no,no,35.0,0,0,0
3929,45-49,urban,9,protected well,15.0,flush to septic tank,no,yes,56.0,0,0,1
3930,20-24,urban,9,protected well,15.0,flush to septic tank,no,yes,56.0,0,0,0
3931,25-29,urban,9,protected well,15.0,flush to septic tank,no,yes,56.0,0,0,2
3932,15-19,urban,8,protected well,5.0,pit latrine with slab,no,yes,45.0,0,0,0
3933,20-24,urban,8,protected well,5.0,pit latrine with slab,no,yes,45.0,0,0,1
3934,30-34,urban,11,tube well or borehole,60.0,pit latrine with slab,no,yes,45.0,0,0,5
3935,20-24,urban,11,tube well or borehole,60.0,pit latrine with slab,no,yes,45.0,0,0,0
3936,15-19,urban,11,tube well or borehole,60.0,pit latrine with slab,no,yes,45.0,0,0,0
3937,15-19,urban,11,tube well or borehole,60.0,pit latrine with slab,no,yes,45.0,0,0,0
3938,40-44,urban,6,unprotected well,15.0,pit latrine without slab/open pit,no,yes,50.0,0,0,1
3939,40-44,urban,7,unprotected well,10.0,ventilated improved pit latrine (vip),no,yes,40.0,0,1,6
3940,15-19,urban,7,unprotected well,10.0,ventilated improved pit latrine (vip),no,yes,40.0,0,0,0
3941,20-24,urban,7,unprotected well,50.0,ventilated improved pit latrine (vip),no,yes,34.0,0,0,1
3942,15-19,urban,7,unprotected well,50.0,ventilated improved pit latrine (vip),no,yes,34.0,0,0,0
3943,40-44,urban,8,tube well or borehole,120.0,pit latrine with slab,no,yes,51.0,1,1,7
3944,20-24,urban,8,tube well or borehole,120.0,pit latrine with slab,no,yes,51.0,0,0,0
3945,15-19,urban,8,tube well or borehole,120.0,pit latrine with slab,no,yes,51.0,0,0,0
3946,20-24,urban,4,unprotected well,90.0,pit latrine with slab,no,no,22.0,1,0,4
3947,20-24,urban,4,unprotected well,90.0,pit latrine with slab,no,no,22.0,1,0,1
3948,45-49,urban,7,protected well,40.0,pit latrine with slab,no,yes,50.0,0,0,4
3949,25-29,urban,7,protected well,40.0,pit latrine with slab,no,yes,50.0,1,0,1
3950,15-19,urban,7,protected well,40.0,pit latrine with slab,no,yes,50.0,0,0,0
3951,15-19,urban,7,protected well,40.0,pit latrine with slab,no,yes,50.0,0,0,0
3952,25-29,urban,3,bottled water or sachets,20.0,pit latrine with slab,no,yes,36.0,0,0,1
3953,45-49,urban,9,protected well,30.0,flush to septic tank,no,yes,65.0,3,1,8
3954,25-29,urban,9,protected well,30.0,flush to septic tank,no,yes,65.0,0,0,2
3955,15-19,urban,9,protected well,30.0,flush to septic tank,no,yes,65.0,0,0,0
3956,15-19,urban,9,protected well,30.0,flush to septic tank,no,yes,65.0,0,0,0
3957,20-24,urban,7,unprotected well,40.0,pit latrine without slab/open pit,no,yes,56.0,0,0,0
3958,20-24,urban,7,unprotected well,40.0,pit latrine without slab/open pit,no,yes,56.0,0,0,0
3959,15-19,urban,9,unprotected well,20.0,pit latrine without slab/open pit,no,yes,65.0,0,0,0
3960,15-19,urban,9,unprotected well,20.0,pit latrine without slab/open pit,no,yes,65.0,0,0,0
3961,30-34,urban,11,protected well,35.0,pit latrine with slab,yes,yes,47.0,0,0,5
3962,25-29,urban,11,protected well,35.0,pit latrine with slab,yes,yes,47.0,0,0,2
3963,25-29,urban,6,protected well,30.0,pit latrine with slab,no,yes,32.0,0,0,2
3964,15-19,urban,6,protected well,30.0,pit latrine with slab,no,yes,32.0,0,0,0
3965,15-19,urban,6,protected well,30.0,pit latrine with slab,no,yes,32.0,0,0,0
3966,15-19,urban,9,tube well or borehole,45.0,pit latrine with slab,no,yes,75.0,0,0,0
3967,25-29,urban,9,tube well or borehole,45.0,pit latrine with slab,no,yes,75.0,0,1,3
3968,20-24,urban,9,tube well or borehole,45.0,pit latrine with slab,no,yes,75.0,0,0,1
3969,20-24,urban,7,tube well or borehole,30.0,pit latrine with slab,no,yes,33.0,0,0,1
3970,40-44,urban,7,tube well or borehole,30.0,pit latrine with slab,no,yes,33.0,0,0,5
3971,15-19,urban,7,tube well or borehole,30.0,pit latrine with slab,no,yes,33.0,0,0,0
3972,30-34,urban,4,tube well or borehole,30.0,pit latrine with slab,no,yes,33.0,1,0,2
3973,40-44,urban,10,protected well,30.0,pit latrine with slab,no,yes,53.0,0,0,5
3974,20-24,urban,10,protected well,30.0,pit latrine with slab,no,yes,53.0,0,0,1
3975,15-19,urban,8,protected well,10.0,pit latrine with slab,no,no,62.0,0,0,0
3976,25-29,urban,8,protected well,10.0,pit latrine with slab,no,no,62.0,0,0,2
3977,40-44,urban,7,unprotected well,45.0,pit latrine without slab/open pit,no,no,45.0,1,0,6
3978,15-19,urban,7,unprotected well,45.0,pit latrine without slab/open pit,no,no,45.0,0,0,0
3979,35-39,urban,6,protected well,60.0,pit latrine without slab/open pit,no,no,55.0,0,0,6
3980,15-19,urban,6,protected well,60.0,pit latrine without slab/open pit,no,no,55.0,0,0,0
3981,35-39,urban,8,tube well or borehole,40.0,pit latrine with slab,no,yes,75.0,0,2,6
3982,45-49,urban,8,tube well or borehole,40.0,pit latrine with slab,no,yes,75.0,0,0,6
3983,20-24,urban,8,tube well or borehole,40.0,pit latrine with slab,no,yes,75.0,0,0,0
3984,15-19,urban,6,unprotected well,60.0,pit latrine without slab/open pit,no,no,27.0,0,0,0
3985,20-24,urban,6,unprotected well,60.0,pit latrine without slab/open pit,no,no,27.0,0,0,1
3986,20-24,urban,6,unprotected well,60.0,pit latrine without slab/open pit,no,no,27.0,0,0,1
3987,25-29,rural,5,protected well,10.0,ventilated improved pit latrine (vip),no,yes,57.0,0,0,2
3988,40-44,rural,5,protected well,10.0,ventilated improved pit latrine (vip),no,yes,57.0,2,1,6
3989,25-29,rural,8,protected well,7.0,ventilated improved pit latrine (vip),no,no,25.0,0,0,4
3990,20-24,rural,5,protected well,0.0,ventilated improved pit latrine (vip),no,yes,24.0,0,0,2
3991,15-19,rural,5,protected well,0.0,ventilated improved pit latrine (vip),no,yes,24.0,0,0,0
3992,25-29,rural,5,protected well,10.0,ventilated improved pit latrine (vip),no,yes,25.0,0,0,2
3993,30-34,rural,8,unprotected well,5.0,pit latrine without slab/open pit,no,yes,63.0,0,0,2
3994,35-39,rural,8,unprotected well,5.0,pit latrine without slab/open pit,no,yes,63.0,0,0,2
3995,30-34,rural,6,protected well,7.0,pit latrine without slab/open pit,no,yes,53.0,0,0,1
3996,40-44,rural,15,protected well,0.0,ventilated improved pit latrine (vip),no,yes,62.0,0,0,6
3997,45-49,rural,15,protected well,0.0,ventilated improved pit latrine (vip),no,yes,62.0,0,1,1
3998,15-19,rural,15,protected well,0.0,ventilated improved pit latrine (vip),no,yes,62.0,0,0,1
3999,45-49,rural,11,protected well,10.0,ventilated improved pit latrine (vip),no,no,75.0,0,0,3
4000,35-39,rural,11,protected well,10.0,ventilated improved pit latrine (vip),no,no,75.0,2,0,9
4001,40-44,rural,7,protected well,7.0,ventilated improved pit latrine (vip),no,no,40.0,1,2,13
4002,25-29,rural,8,protected well,0.0,,,,40.0,0,0,3
4003,15-19,rural,8,protected well,0.0,,,,40.0,0,0,0
4004,25-29,rural,10,protected well,0.0,pit latrine with slab,no,yes,57.0,1,1,5
4005,15-19,rural,10,protected well,0.0,pit latrine with slab,no,yes,57.0,0,0,1
4006,45-49,rural,8,protected spring,10.0,ventilated improved pit latrine (vip),no,yes,45.0,0,0,7
4007,20-24,rural,8,protected spring,10.0,ventilated improved pit latrine (vip),no,yes,45.0,0,0,0
4008,45-49,rural,6,protected well,0.0,pit latrine without slab/open pit,yes,no,45.0,0,0,2
4009,20-24,rural,7,protected well,7.0,ventilated improved pit latrine (vip),no,yes,26.0,0,0,2
4010,20-24,rural,7,protected well,7.0,ventilated improved pit latrine (vip),no,yes,26.0,0,0,2
4011,20-24,rural,2,protected well,10.0,ventilated improved pit latrine (vip),no,yes,38.0,0,0,1
4012,25-29,rural,3,unprotected well,10.0,pit latrine without slab/open pit,no,yes,28.0,0,0,3
4013,35-39,rural,4,other,30.0,ventilated improved pit latrine (vip),no,yes,40.0,0,0,1
4014,35-39,rural,2,tube well or borehole,0.0,ventilated improved pit latrine (vip),no,yes,35.0,0,0,4
4015,30-34,rural,17,protected well,7.0,ventilated improved pit latrine (vip),no,yes,30.0,0,0,1
4016,35-39,rural,17,protected well,7.0,ventilated improved pit latrine (vip),no,yes,30.0,0,0,2
4017,15-19,rural,17,protected well,7.0,ventilated improved pit latrine (vip),no,yes,30.0,0,0,1
4018,20-24,rural,17,protected well,7.0,ventilated improved pit latrine (vip),no,yes,30.0,0,0,1
4019,20-24,rural,17,protected well,7.0,ventilated improved pit latrine (vip),no,yes,30.0,0,0,1
4020,30-34,rural,11,protected well,5.0,ventilated improved pit latrine (vip),no,yes,35.0,0,0,7
4021,30-34,rural,11,protected well,5.0,ventilated improved pit latrine (vip),no,yes,35.0,0,0,5
4022,15-19,rural,7,protected well,10.0,pit latrine without slab/open pit,no,yes,63.0,0,0,0
4023,35-39,rural,7,protected well,10.0,pit latrine without slab/open pit,no,yes,63.0,1,0,7
4024,30-34,rural,10,unprotected well,10.0,ventilated improved pit latrine (vip),no,yes,94.0,1,0,4
4025,30-34,rural,5,public tap/standpipe,10.0,ventilated improved pit latrine (vip),no,yes,54.0,0,0,5
4026,30-34,rural,8,unprotected spring,36.0,pit latrine without slab/open pit,no,yes,30.0,0,1,4
4027,25-29,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,yes,32.0,0,0,2
4028,30-34,rural,11,unprotected spring,30.0,ventilated improved pit latrine (vip),no,yes,56.0,1,0,5
4029,45-49,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,no facility/bush/field,no,no,59.0,0,1,8
4030,25-29,rural,5,tube well or borehole,30.0,pit latrine with slab,no,no,33.0,0,0,3
4031,45-49,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,no facility/bush/field,no,no,46.0,1,0,4
4032,35-39,rural,13,public tap/standpipe,40.0,ventilated improved pit latrine (vip),no,yes,52.0,2,0,7
4033,15-19,rural,13,public tap/standpipe,40.0,ventilated improved pit latrine (vip),no,yes,52.0,0,0,0
4034,25-29,rural,13,public tap/standpipe,40.0,ventilated improved pit latrine (vip),no,yes,52.0,0,0,4
4035,45-49,rural,9,unprotected spring,30.0,no facility/bush/field,no,yes,80.0,0,0,5
4036,20-24,rural,9,unprotected spring,30.0,no facility/bush/field,no,yes,80.0,0,0,1
4037,20-24,rural,9,unprotected spring,30.0,no facility/bush/field,no,yes,80.0,0,0,4
4038,15-19,rural,3,unprotected spring,10.0,ventilated improved pit latrine (vip),no,no,31.0,0,0,1
4039,35-39,rural,6,tube well or borehole,10.0,no facility/bush/field,no,yes,52.0,1,0,7
4040,35-39,rural,9,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,ventilated improved pit latrine (vip),no,no,38.0,1,0,6
4041,20-24,rural,5,tube well or borehole,30.0,pit latrine with slab,no,no,68.0,0,0,1
4042,35-39,rural,5,public tap/standpipe,49.0,pit latrine with slab,no,yes,78.0,0,0,1
4043,25-29,rural,7,tube well or borehole,25.0,pit latrine without slab/open pit,no,yes,39.0,0,0,5
4044,25-29,rural,8,public tap/standpipe,30.0,ventilated improved pit latrine (vip),no,no,35.0,0,0,3
4045,15-19,rural,8,public tap/standpipe,30.0,ventilated improved pit latrine (vip),no,no,35.0,0,1,1
4046,35-39,rural,6,unprotected spring,25.0,no facility/bush/field,no,yes,46.0,3,0,9
4047,15-19,rural,6,unprotected spring,25.0,no facility/bush/field,no,yes,46.0,0,0,0
4048,15-19,rural,7,public tap/standpipe,40.0,ventilated improved pit latrine (vip),no,no,52.0,0,0,1
4049,30-34,rural,5,tube well or borehole,45.0,pit latrine with slab,no,yes,40.0,0,0,4
4050,15-19,rural,2,tube well or borehole,15.0,ventilated improved pit latrine (vip),no,no,18.0,0,0,1
4051,45-49,rural,3,tube well or borehole,20.0,pit latrine with slab,no,no,45.0,2,0,6
4052,35-39,rural,2,public tap/standpipe,8.0,pit latrine with slab,no,yes,55.0,1,0,3
4053,20-24,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,ventilated improved pit latrine (vip),no,yes,61.0,0,0,2
4054,15-19,rural,1,public tap/standpipe,45.0,pit latrine with slab,no,no,17.0,0,0,0
4055,25-29,rural,3,tube well or borehole,10.0,no facility/bush/field,no,yes,26.0,2,1,4
4056,20-24,rural,3,tube well or borehole,14.0,pit latrine with slab,no,yes,24.0,0,0,1
4057,40-44,rural,11,tube well or borehole,22.0,no facility/bush/field,no,no,52.0,0,0,4
4058,35-39,rural,11,tube well or borehole,22.0,no facility/bush/field,no,no,52.0,0,1,5
4059,25-29,rural,12,tube well or borehole,20.0,pit latrine with slab,no,yes,25.0,0,0,3
4060,15-19,rural,12,tube well or borehole,20.0,pit latrine with slab,no,yes,25.0,0,0,0
4061,15-19,rural,12,tube well or borehole,20.0,pit latrine with slab,no,yes,25.0,0,0,0
4062,20-24,rural,12,tube well or borehole,20.0,pit latrine with slab,no,yes,25.0,0,0,2
4063,40-44,rural,6,tube well or borehole,40.0,pit latrine without slab/open pit,no,yes,43.0,0,1,5
4064,20-24,rural,6,tube well or borehole,40.0,pit latrine without slab/open pit,no,yes,43.0,0,1,1
4065,45-49,rural,4,unprotected well,0.0,pit latrine without slab/open pit,no,yes,47.0,0,0,2
4066,15-19,rural,4,unprotected well,0.0,pit latrine without slab/open pit,no,yes,47.0,0,0,0
4067,20-24,rural,12,tube well or borehole,9.0,pit latrine with slab,no,yes,70.0,0,0,0
4068,45-49,rural,12,tube well or borehole,9.0,pit latrine with slab,no,yes,70.0,0,0,2
4069,45-49,rural,12,tube well or borehole,9.0,pit latrine with slab,no,yes,70.0,0,0,0
4070,30-34,rural,6,tube well or borehole,15.0,no facility/bush/field,no,yes,34.0,2,0,7
4071,35-39,rural,4,tube well or borehole,12.0,no facility/bush/field,no,no,38.0,1,1,4
4072,40-44,rural,4,tube well or borehole,10.0,no facility/bush/field,no,yes,60.0,2,1,3
4073,35-39,rural,7,tube well or borehole,6.0,no facility/bush/field,no,yes,35.0,0,0,4
4074,25-29,rural,5,tube well or borehole,16.0,pit latrine without slab/open pit,no,yes,33.0,0,0,3
4075,40-44,rural,5,tube well or borehole,8.0,no facility/bush/field,no,yes,40.0,0,0,5
4076,20-24,rural,3,tube well or borehole,8.0,pit latrine without slab/open pit,no,yes,36.0,0,0,1
4077,45-49,rural,8,tube well or borehole,16.0,pit latrine with slab,no,yes,66.0,0,0,3
4078,15-19,rural,8,tube well or borehole,16.0,pit latrine with slab,no,yes,66.0,0,0,0
4079,30-34,rural,7,tube well or borehole,12.0,no facility/bush/field,no,no,62.0,0,2,3
4080,25-29,rural,5,tube well or borehole,12.0,no facility/bush/field,no,yes,33.0,0,0,2
4081,15-19,rural,5,tube well or borehole,18.0,pit latrine without slab/open pit,no,yes,59.0,0,0,1
4082,15-19,rural,14,tube well or borehole,20.0,pit latrine with slab,no,yes,70.0,0,0,1
4083,25-29,rural,14,tube well or borehole,20.0,pit latrine with slab,no,yes,70.0,0,0,1
4084,20-24,rural,14,tube well or borehole,20.0,pit latrine with slab,no,yes,70.0,0,0,1
4085,40-44,rural,14,tube well or borehole,38.0,no facility/bush/field,no,no,41.0,0,0,7
4086,15-19,rural,14,tube well or borehole,38.0,no facility/bush/field,no,no,41.0,0,0,0
4087,15-19,rural,14,tube well or borehole,38.0,no facility/bush/field,no,no,41.0,0,0,1
4088,30-34,rural,14,tube well or borehole,38.0,no facility/bush/field,no,no,41.0,1,1,6
4089,15-19,rural,3,tube well or borehole,15.0,no facility/bush/field,no,no,32.0,0,0,0
4090,25-29,rural,7,tube well or borehole,20.0,pit latrine without slab/open pit,no,yes,29.0,0,0,3
4091,45-49,rural,6,tube well or borehole,9.0,pit latrine with slab,no,yes,45.0,0,0,5
4092,20-24,rural,6,tube well or borehole,9.0,pit latrine with slab,no,yes,45.0,0,0,2
4093,15-19,rural,3,tube well or borehole,10.0,no facility/bush/field,no,yes,17.0,0,0,1
4094,35-39,rural,5,unprotected spring,46.0,no facility/bush/field,no,yes,40.0,0,0,3
4095,20-24,rural,11,protected well,10.0,no facility/bush/field,no,no,49.0,0,0,2
4096,35-39,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,45.0,no facility/bush/field,no,yes,45.0,0,0,5
4097,15-19,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,45.0,no facility/bush/field,no,yes,45.0,0,0,0
4098,35-39,rural,7,unprotected well,,pit latrine with slab,no,yes,45.0,0,0,5
4099,15-19,rural,4,unprotected spring,57.0,no facility/bush/field,no,yes,20.0,0,0,1
4100,15-19,rural,4,unprotected spring,57.0,no facility/bush/field,no,yes,20.0,0,0,0
4101,20-24,rural,3,unprotected spring,60.0,no facility/bush/field,no,yes,25.0,0,0,1
4102,15-19,rural,5,unprotected spring,37.0,no facility/bush/field,no,yes,55.0,0,0,0
4103,30-34,rural,8,unprotected spring,57.0,pit latrine without slab/open pit,no,yes,37.0,0,0,5
4104,40-44,rural,8,unprotected spring,57.0,pit latrine without slab/open pit,no,yes,37.0,0,0,0
4105,20-24,rural,4,unprotected spring,48.0,no facility/bush/field,no,yes,25.0,0,0,1
4106,45-49,rural,4,unprotected spring,48.0,no facility/bush/field,no,yes,25.0,0,0,4
4107,40-44,rural,5,unprotected spring,15.0,no facility/bush/field,no,yes,40.0,0,0,3
4108,15-19,rural,5,unprotected spring,15.0,no facility/bush/field,no,yes,40.0,0,0,0
4109,35-39,rural,4,unprotected well,,no facility/bush/field,no,no,35.0,0,0,2
4110,30-34,rural,7,unprotected spring,30.0,no facility/bush/field,no,yes,45.0,0,0,4
4111,45-49,rural,9,unprotected spring,,no facility/bush/field,no,no,46.0,0,0,3
4112,20-24,rural,9,unprotected spring,,no facility/bush/field,no,no,46.0,0,0,3
4113,40-44,rural,11,unprotected spring,20.0,no facility/bush/field,no,yes,67.0,0,0,4
4114,15-19,rural,11,unprotected spring,20.0,no facility/bush/field,no,yes,67.0,0,0,0
4115,35-39,rural,11,unprotected spring,20.0,no facility/bush/field,no,yes,67.0,0,0,2
4116,45-49,rural,11,unprotected spring,20.0,no facility/bush/field,no,yes,67.0,0,0,0
4117,20-24,rural,11,unprotected spring,20.0,no facility/bush/field,no,yes,67.0,0,0,0
4118,35-39,rural,6,unprotected well,10.0,pit latrine with slab,no,yes,45.0,0,0,4
4119,15-19,rural,6,unprotected well,10.0,pit latrine with slab,no,yes,45.0,0,0,0
4120,45-49,rural,7,unprotected spring,43.0,no facility/bush/field,no,no,46.0,0,0,9
4121,25-29,rural,7,unprotected spring,43.0,no facility/bush/field,no,no,46.0,0,0,2
4122,35-39,rural,1,bottled water or sachets,,flush to pit latrine,yes,yes,36.0,0,0,2
4123,35-39,rural,12,unprotected spring,53.0,no facility/bush/field,no,yes,67.0,0,0,8
4124,15-19,rural,12,unprotected spring,53.0,no facility/bush/field,no,yes,67.0,0,0,0
4125,25-29,rural,6,unprotected well,15.0,pit latrine without slab/open pit,no,yes,32.0,0,0,3
4126,35-39,rural,7,unprotected well,10.0,pit latrine without slab/open pit,no,no,56.0,0,0,3
4127,25-29,rural,7,unprotected well,10.0,pit latrine without slab/open pit,no,no,56.0,0,0,2
4128,25-29,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,46.0,no facility/bush/field,no,no,30.0,0,0,2
4129,20-24,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,46.0,no facility/bush/field,no,no,30.0,0,0,0
4130,20-24,rural,6,unprotected well,37.0,no facility/bush/field,no,yes,36.0,0,0,2
4131,15-19,rural,6,unprotected well,37.0,no facility/bush/field,no,yes,36.0,0,0,1
4132,45-49,rural,9,unprotected spring,43.0,no facility/bush/field,no,yes,50.0,0,0,5
4133,15-19,rural,9,unprotected spring,43.0,no facility/bush/field,no,yes,50.0,0,0,0
4134,20-24,rural,9,unprotected spring,43.0,no facility/bush/field,no,yes,50.0,0,0,1
4135,15-19,rural,3,unprotected well,,pit latrine without slab/open pit,no,no,52.0,0,0,0
4136,45-49,rural,4,unprotected spring,58.0,no facility/bush/field,no,no,46.0,0,0,3
4137,15-19,rural,4,unprotected spring,58.0,no facility/bush/field,no,no,46.0,0,0,1
4138,25-29,rural,7,unprotected well,,pit latrine without slab/open pit,no,yes,40.0,0,0,4
4139,25-29,rural,7,unprotected spring,10.0,no facility/bush/field,no,yes,30.0,0,1,1
4140,35-39,rural,5,unprotected spring,37.0,no facility/bush/field,no,yes,55.0,0,0,2
4141,15-19,rural,5,unprotected spring,37.0,no facility/bush/field,no,yes,55.0,0,0,0
4142,30-34,rural,6,public tap/standpipe,10.0,no facility/bush/field,no,yes,42.0,1,2,7
4143,15-19,rural,6,public tap/standpipe,10.0,no facility/bush/field,no,yes,42.0,0,0,0
4144,15-19,rural,6,public tap/standpipe,10.0,pit latrine with slab,no,yes,65.0,0,0,0
4145,20-24,rural,3,public tap/standpipe,15.0,pit latrine with slab,no,yes,30.0,0,1,2
4146,35-39,rural,8,tube well or borehole,3.0,no facility/bush/field,no,yes,35.0,0,1,7
4147,30-34,rural,8,tube well or borehole,3.0,no facility/bush/field,no,yes,35.0,0,0,1
4148,20-24,rural,4,public tap/standpipe,20.0,no facility/bush/field,no,yes,31.0,0,0,0
4149,25-29,rural,8,public tap/standpipe,25.0,ventilated improved pit latrine (vip),no,yes,55.0,1,0,2
4150,15-19,rural,8,public tap/standpipe,25.0,ventilated improved pit latrine (vip),no,yes,55.0,0,0,0
4151,35-39,rural,8,public tap/standpipe,10.0,no facility/bush/field,no,yes,55.0,0,1,6
4152,30-34,rural,5,public tap/standpipe,15.0,no facility/bush/field,no,yes,70.0,0,0,4
4153,35-39,rural,5,public tap/standpipe,15.0,no facility/bush/field,no,yes,70.0,0,0,0
4154,35-39,rural,7,public tap/standpipe,20.0,no facility/bush/field,no,yes,48.0,0,1,6
4155,15-19,rural,7,public tap/standpipe,20.0,no facility/bush/field,no,yes,48.0,0,0,0
4156,35-39,rural,3,public tap/standpipe,5.0,pit latrine with slab,no,no,35.0,0,2,9
4157,15-19,rural,6,public tap/standpipe,35.0,ventilated improved pit latrine (vip),no,yes,60.0,0,0,0
4158,35-39,rural,6,public tap/standpipe,5.0,no facility/bush/field,no,yes,45.0,3,0,7
4159,20-24,rural,4,public tap/standpipe,10.0,no facility/bush/field,no,yes,30.0,1,0,3
4160,35-39,rural,5,protected well,10.0,no facility/bush/field,no,no,40.0,0,2,6
4161,35-39,rural,8,protected well,10.0,no facility/bush/field,no,yes,61.0,1,1,7
4162,15-19,rural,8,protected well,10.0,no facility/bush/field,no,yes,61.0,0,0,0
4163,45-49,rural,11,public tap/standpipe,5.0,pit latrine without slab/open pit,no,yes,75.0,1,1,5
4164,40-44,rural,5,public tap/standpipe,10.0,no facility/bush/field,no,no,44.0,2,0,6
4165,25-29,rural,5,public tap/standpipe,10.0,no facility/bush/field,no,no,44.0,0,0,2
4166,40-44,rural,4,protected well,5.0,no facility/bush/field,no,no,42.0,2,2,10
4167,45-49,urban,6,protected well,60.0,pit latrine without slab/open pit,no,yes,45.0,1,0,6
4168,25-29,urban,6,protected well,60.0,pit latrine without slab/open pit,no,yes,45.0,0,0,0
4169,20-24,urban,11,public tap/standpipe,20.0,pit latrine with slab,no,yes,68.0,0,0,2
4170,15-19,urban,11,public tap/standpipe,20.0,pit latrine with slab,no,yes,68.0,0,0,1
4171,30-34,urban,5,protected well,0.0,pit latrine with slab,yes,yes,30.0,0,0,5
4172,15-19,urban,9,protected well,0.0,pit latrine with slab,no,yes,55.0,0,0,0
4173,20-24,urban,9,protected well,0.0,pit latrine with slab,no,yes,55.0,0,0,1
4174,30-34,urban,7,protected well,15.0,pit latrine with slab,no,yes,37.0,0,0,1
4175,15-19,urban,7,protected well,15.0,pit latrine with slab,no,yes,37.0,0,0,0
4176,15-19,urban,7,protected well,15.0,pit latrine with slab,no,yes,37.0,0,0,0
4177,30-34,urban,2,protected well,0.0,ventilated improved pit latrine (vip),no,yes,34.0,0,0,1
4178,20-24,urban,2,protected well,40.0,ventilated improved pit latrine (vip),no,yes,20.0,0,1,1
4179,25-29,urban,6,protected well,0.0,ventilated improved pit latrine (vip),no,yes,40.0,1,0,4
4180,25-29,urban,6,protected well,0.0,ventilated improved pit latrine (vip),no,yes,40.0,0,0,3
4181,45-49,urban,8,public tap/standpipe,20.0,pit latrine with slab,no,no,45.0,1,0,7
4182,20-24,urban,8,public tap/standpipe,20.0,pit latrine with slab,no,no,45.0,0,0,0
4183,20-24,urban,3,public tap/standpipe,20.0,pit latrine with slab,no,yes,20.0,0,0,1
4184,20-24,urban,4,protected well,0.0,pit latrine without slab/open pit,yes,yes,32.0,0,0,0
4185,30-34,urban,5,protected well,15.0,ventilated improved pit latrine (vip),no,yes,29.0,0,0,1
4186,15-19,urban,5,protected well,0.0,pit latrine without slab/open pit,no,no,57.0,0,0,0
4187,20-24,urban,8,public tap/standpipe,10.0,flush to pit latrine,no,yes,60.0,0,0,1
4188,15-19,urban,8,public tap/standpipe,10.0,flush to pit latrine,no,yes,60.0,0,0,1
4189,35-39,urban,3,protected well,30.0,ventilated improved pit latrine (vip),no,yes,39.0,0,4,6
4190,30-34,urban,7,protected well,20.0,flush to septic tank,yes,yes,35.0,0,0,1
4191,15-19,urban,7,protected well,20.0,flush to septic tank,yes,yes,35.0,0,0,0
4192,15-19,urban,7,protected well,20.0,flush to septic tank,yes,yes,35.0,0,0,0
4193,25-29,urban,7,protected well,0.0,pit latrine with slab,no,yes,35.0,0,0,1
4194,15-19,urban,10,protected well,30.0,pit latrine with slab,yes,yes,56.0,0,0,0
4195,20-24,urban,10,protected well,30.0,pit latrine with slab,yes,yes,56.0,0,0,0
4196,25-29,urban,4,protected well,20.0,pit latrine with slab,no,yes,24.0,0,0,1
4197,15-19,urban,7,protected well,20.0,ventilated improved pit latrine (vip),no,yes,55.0,0,0,0
4198,25-29,urban,3,protected well,20.0,pit latrine with slab,yes,yes,25.0,0,0,2
4199,20-24,urban,5,protected well,5.0,pit latrine without slab/open pit,no,yes,36.0,0,0,1
4200,40-44,urban,8,protected well,0.0,ventilated improved pit latrine (vip),no,yes,43.0,0,1,8
4201,15-19,urban,8,protected well,0.0,ventilated improved pit latrine (vip),no,yes,43.0,0,0,0
4202,15-19,urban,8,protected well,0.0,ventilated improved pit latrine (vip),no,yes,43.0,0,0,0
4203,25-29,urban,5,protected well,0.0,pit latrine with slab,no,yes,27.0,0,0,2
4204,15-19,urban,5,protected well,0.0,pit latrine with slab,no,yes,27.0,0,0,0
4205,30-34,urban,7,protected well,15.0,pit latrine with slab,yes,yes,47.0,0,1,4
4206,15-19,urban,7,protected well,15.0,pit latrine with slab,yes,yes,47.0,0,0,0
4207,45-49,urban,14,protected well,0.0,pit latrine with slab,yes,yes,49.0,1,0,7
4208,25-29,urban,14,protected well,0.0,pit latrine with slab,yes,yes,49.0,0,0,3
4209,15-19,urban,14,protected well,0.0,pit latrine with slab,yes,yes,49.0,0,0,1
4210,15-19,urban,14,protected well,0.0,pit latrine with slab,yes,yes,49.0,0,0,0
4211,15-19,urban,14,protected well,0.0,pit latrine with slab,yes,yes,49.0,0,0,1
